latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
45.21913,-93.82848,300.92,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.99,0.36,N
45.26648,-93.9482,299,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.45,0.42,N
45.63957,-97.12395,300.82,0.41,0.37,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.51,0.58,N
45.64294,-113.20981,313.46,0.71,0.75,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.15,2.51,N
45.64988,-113.21157,296.32,0.71,0.75,2026-08-01,824,N20,VIIRS,n,2.0NRT,286.25,2.51,N
45.69359,-91.83611,299.26,0.41,0.37,2026-08-01,824,N20,VIIRS,n,2.0NRT,283.06,0.2,N
45.71311,-94.80816,299.29,0.38,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.24,0.3,N
45.96249,-96.11211,297.61,0.39,0.37,2026-08-01,824,N20,VIIRS,n,2.0NRT,286.53,0.26,N
46.06767,-113.70803,298.56,0.75,0.77,2026-08-01,824,N20,VIIRS,n,2.0NRT,285,1.55,N
46.52273,-94.01244,318.93,0.38,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.39,2.23,N
46.52352,-94.01737,318.03,0.38,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.4,1.89,N
46.72958,-92.07908,306.12,0.4,0.37,2026-08-01,824,N20,VIIRS,n,2.0NRT,286.15,0.77,N
46.73287,-92.07784,307.59,0.4,0.37,2026-08-01,824,N20,VIIRS,n,2.0NRT,286.5,0.53,N
46.73673,-110.62573,300.77,0.53,0.67,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.06,3.16,N
46.73893,-110.62567,315.18,0.53,0.67,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.47,3.9,N
46.73904,-110.6331,309.84,0.53,0.67,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.77,3.48,N
46.74297,-110.62421,319.34,0.53,0.67,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.09,3.16,N
46.74304,-110.6311,322.69,0.53,0.67,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.7,3.16,N
46.74312,-110.63859,299.64,0.54,0.67,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.46,2.97,N
47.30111,-102.93427,302.26,0.46,0.47,2026-08-01,824,N20,VIIRS,n,2.0NRT,287.94,0.52,N
47.35524,-101.83788,303.64,0.41,0.45,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.92,0.94,N
47.36398,-101.84177,301.7,0.41,0.45,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.71,0.48,N
47.473,-103.21455,308.76,0.48,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.04,0.68,N
47.52491,-111.30022,300.22,0.58,0.69,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.05,1.03,N
47.56197,-103.04106,306.12,0.47,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.72,0.62,N
47.56693,-92.62788,305.8,0.39,0.36,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.46,1.28,N
47.57841,-103.14304,305.37,0.48,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.95,0.73,N
47.57888,-103.14949,301.45,0.48,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.66,0.73,N
47.74515,-102.70673,307.83,0.46,0.47,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.54,0.5,N
47.74672,-103.56337,302.5,0.5,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,290.7,0.45,N
47.79232,-103.56293,312.2,0.5,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,291.39,2.14,N
47.79346,-103.56335,322.74,0.5,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,292.41,2.04,N
47.83862,-113.23882,297.4,0.71,0.75,2026-08-01,824,N20,VIIRS,n,2.0NRT,283.66,2.15,N
47.8447,-103.38641,303.98,0.49,0.49,2026-08-01,824,N20,VIIRS,n,2.0NRT,289.29,1.19,N
47.84531,-113.25598,298.79,0.72,0.75,2026-08-01,824,N20,VIIRS,n,2.0NRT,281.38,2.15,N
47.84745,-113.25521,297.37,0.72,0.75,2026-08-01,824,N20,VIIRS,n,2.0NRT,280.15,2.47,N
47.84764,-113.24052,299.97,0.71,0.75,2026-08-01,824,N20,VIIRS,n,2.0NRT,286.63,2.47,N
47.99286,-103.05779,304.78,0.48,0.48,2026-08-01,824,N20,VIIRS,n,2.0NRT,288.94,0.74,N
